target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
16733,16738,438120,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,432867,2,NA,NA,NA,NA,NA,NA,NA,992,992,8335,7871,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4213540,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4295261,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4080762,2,NA,NA,NA,NA,NA,NA,NA,992,992,8353,7871,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,433736,2,2.94302397579619,0.376879626707564,59.473364682892,0.403152411325103,NA,1.07943761593789,1.29118647968331,992,992,8339,7863,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,432867,3,2.38025828043824,0.599700019119603,8.45898189046948,0.198980603907132,NA,0.867209002987924,0.675153870239836,1186,5047,9905,40129,-5,6,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,438120,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4209423,3,0.249636693560964,NA,2.99501965273003,NA,NA,-1.38774864383271,NA,1186,5047,9949,40150,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,140673,3,596324547303857,1.36475687196672e-9,NA,NA,NA,34.0218061772406,NA,1186,5047,9918,40158,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,16741,3,0.928258052479944,0.778517738529765,1.10021408792065,0.398817730382344,NA,-0.0744455110582446,0.088233327607642,1186,5047,9949,40156,159,686,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,79917,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
