"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
5,0.8324,0.8074,0.8545,0.8439,0.8254,0.8607,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
6,0.8079,0.7805,0.8322,0.8144,0.7935,0.8334,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
7,0.7747,0.7441,0.8021,0.791,0.768,0.812,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
8,0.754,0.7212,0.7835,0.7678,0.7425,0.7909,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
9,0.7433,0.7093,0.7741,0.7513,0.7242,0.7761,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
10,0.7312,0.6956,0.7634,0.7411,0.7127,0.7672,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
11,0.7174,0.6798,0.7515,0.7307,0.7008,0.7583,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
12,0.6983,0.6579,0.7349,0.7061,0.6722,0.7371,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
13,0.6898,0.648,0.7276,0.6878,0.6509,0.7216,NA,NA,16733,16738,16743,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,992,992,16733,16738,16743,2,"cdm_premier_covid_v1240"
1,0.9647,0.9533,0.9763,0.9627,0.951,0.9746,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
2,0.9274,0.9114,0.9437,0.9254,0.9092,0.9419,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
3,0.8942,0.8749,0.914,0.8921,0.8726,0.9121,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
4,0.85,0.8266,0.874,0.8721,0.8506,0.8941,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
5,0.8148,0.7883,0.8421,0.8527,0.8291,0.8769,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
6,0.7884,0.7596,0.8183,0.825,0.7982,0.8526,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
7,0.7548,0.7228,0.7882,0.7929,0.7623,0.8247,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
8,0.7313,0.6971,0.7672,0.7652,0.731,0.801,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
9,0.7192,0.6837,0.7566,0.7544,0.7187,0.7918,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
10,0.7052,0.668,0.7445,0.7342,0.6956,0.7749,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
11,0.689,0.6496,0.7307,0.7195,0.6786,0.7629,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
12,0.6799,0.6392,0.7231,0.7027,0.6588,0.7494,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
13,0.6696,0.6273,0.7147,0.6833,0.636,0.7342,NA,NA,16733,16738,16743,2,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1186,5047,16733,16738,16743,3,"cdm_premier_covid_v1240"
1,0.9688,0.959,0.9787,0.9564,0.9508,0.9621,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
2,0.9342,0.9202,0.9484,0.9184,0.9108,0.926,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
3,0.905,0.8881,0.9223,0.8827,0.8737,0.8918,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
4,0.8658,0.8452,0.8869,0.8519,0.8418,0.8622,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
5,0.8324,0.8088,0.8567,0.8257,0.8144,0.8371,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
6,0.8079,0.782,0.8346,0.7958,0.7833,0.8086,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
7,0.7747,0.7457,0.8048,0.7709,0.7572,0.7848,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
8,0.754,0.7229,0.7863,0.7494,0.7346,0.7646,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
9,0.7433,0.7111,0.777,0.7373,0.7217,0.7533,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
10,0.7312,0.6976,0.7665,0.7209,0.7041,0.7381,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
11,0.7174,0.682,0.7547,0.7048,0.6867,0.7233,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
12,0.6983,0.6603,0.7385,0.6854,0.6655,0.7058,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
13,0.6898,0.6506,0.7313,0.6708,0.6495,0.6928,NA,NA,16733,16738,16743,3,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1527,1855,16733,16739,16741,1,"cdm_premier_covid_v1240"
2,0.9928,0.9871,0.996,0.9934,0.9865,0.9968,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
3,0.9763,0.9669,0.9831,0.9841,0.9744,0.9901,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
4,0.9605,0.9484,0.9698,0.968,0.9548,0.9774,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
5,0.9387,0.9232,0.9511,0.9486,0.9318,0.9613,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
6,0.9196,0.9015,0.9344,0.9219,0.901,0.9386,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
7,0.8889,0.8671,0.9074,0.9069,0.8837,0.9257,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
8,0.8537,0.828,0.8759,0.8838,0.8573,0.9056,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
9,0.8411,0.8139,0.8646,0.8666,0.8376,0.8907,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
10,0.8289,0.8002,0.8538,0.8546,0.8238,0.8804,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
11,0.8083,0.7771,0.8356,0.8309,0.7967,0.8599,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
12,0.7929,0.7598,0.822,0.8102,0.7731,0.8419,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
